DATE,CIG,VIS,TMP,DEW,SLP,WD,WS,CLDCR,CLDHT
2018-01-18 09:00:00,1250.0,10000,21.7,17.2,1013.2,110,2.0,0.5,450.0
2018-01-18 12:00:00,,10000,20.6,16.3,1013.9,90,1.0,0.3,450.0
2018-01-18 15:00:00,1250.0,10000,19.6,16.6,1016.1,140,1.0,0.5,450.0
2018-01-18 18:00:00,1250.0,10000,19.2,16.3,1016.8,90,2.0,0.3,450.0
2018-01-18 21:00:00,1250.0,10000,19.0,16.4,1016.7,110,1.0,0.6,450.0
2018-01-19 00:00:00,1250.0,10000,19.0,15.7,1017.8,360,0.0,0.7,1250.0
2018-01-19 03:00:00,,10000,23.2,15.9,1019.5,999,999.9,,
2018-01-19 06:00:00,2750.0,10000,25.7,15.2,1016.2,110,2.0,0.7,2750.0
2018-01-19 09:00:00,2750.0,10000,26.0,14.9,1014.3,90,1.0,0.6,2750.0
2018-01-19 12:00:00,22000.0,10000,22.5,17.9,1015.3,90,2.0,,
2018-01-19 15:00:00,22000.0,10000,20.5,17.8,1016.2,360,0.0,,
2018-01-19 18:00:00,,10000,19.2,17.7,1015.4,999,999.9,,
2018-01-19 21:00:00,1250.0,10000,19.2,17.9,1014.4,70,1.0,0.2,450.0
2018-01-20 00:00:00,1250.0,4000,19.2,17.9,1015.8,360,0.0,0.2,450.0
2018-01-20 03:00:00,1250.0,4000,20.7,17.6,1017.4,360,0.0,0.3,450.0
2018-01-20 06:00:00,1250.0,4000,20.5,18.6,1014.6,140,2.0,0.5,450.0
2018-01-20 09:00:00,1250.0,10000,21.7,18.9,1012.7,140,2.0,0.3,450.0
2018-01-20 12:00:00,1250.0,10000,20.6,19.0,1013.3,140,2.0,0.1,450.0
2018-01-20 15:00:00,1250.0,10000,20.0,18.4,1014.2,140,1.0,0.2,450.0
2018-01-20 18:00:00,1250.0,4000,19.5,18.5,1013.9,50,1.0,0.2,450.0
2018-01-20 21:00:00,1250.0,4000,19.5,18.5,1012.9,360,0.0,0.3,450.0
2018-01-21 00:00:00,1250.0,4000,19.5,18.5,1014.5,140,2.0,0.5,450.0
2018-01-21 03:00:00,1250.0,4000,20.5,18.9,1015.6,90,2.0,0.5,450.0
2018-01-21 06:00:00,1250.0,4000,22.0,18.8,1012.4,360,0.0,0.3,450.0
2018-01-21 09:00:00,1250.0,10000,22.7,18.0,1011.0,90,1.0,0.2,450.0
2018-01-21 12:00:00,1250.0,10000,22.5,19.6,1012.8,90,1.0,0.2,450.0
2018-01-21 15:00:00,1250.0,10000,21.0,19.4,1014.3,140,2.0,0.8,1250.0
2018-01-21 18:00:00,1250.0,10000,20.5,19.2,1013.8,90,2.0,0.2,450.0
2018-01-21 21:00:00,1250.0,4000,20.0,19.2,1013.3,110,2.0,0.6,450.0
2018-01-22 00:00:00,1250.0,4000,20.0,19.0,1014.3,90,2.0,0.6,450.0
2018-01-22 03:00:00,2750.0,4000,20.6,19.6,1015.8,180,2.0,0.6,450.0
2018-01-22 06:00:00,1250.0,10000,23.2,19.6,1012.5,140,3.0,0.2,800.0
2018-01-22 09:00:00,1250.0,10000,23.2,19.3,1010.5,110,3.0,0.3,450.0
2018-01-22 12:00:00,450.0,10000,21.2,17.4,1011.0,110,3.0,0.5,450.0
2018-01-22 15:00:00,1250.0,10000,20.5,18.4,1012.5,110,3.0,0.5,450.0
2018-01-22 18:00:00,2750.0,4000,19.5,18.4,1012.4,50,2.0,0.6,450.0
2018-01-22 21:00:00,2750.0,10000,19.5,17.7,1012.1,50,2.0,0.6,450.0
2018-01-23 00:00:00,,4000,19.2,18.2,1013.6,50,1.0,0.4,450.0
2018-01-23 03:00:00,1250.0,10000,21.5,19.0,1015.1,140,2.0,0.2,800.0
2018-01-23 06:00:00,800.0,10000,24.7,19.2,1011.7,140,2.0,0.5,800.0
2018-01-23 09:00:00,22000.0,10000,26.0,18.4,1009.7,140,2.0,0.1,800.0
2018-01-23 12:00:00,22000.0,10000,22.7,19.6,1010.5,140,3.0,,
2018-01-23 15:00:00,1250.0,10000,20.7,18.5,1011.5,90,3.0,0.3,800.0
2018-01-23 18:00:00,1250.0,10000,20.2,18.8,1011.1,140,2.0,0.4,450.0
2018-01-23 21:00:00,1250.0,10000,20.0,18.8,1010.3,110,2.0,0.3,450.0
2018-01-24 00:00:00,1250.0,10000,19.5,18.7,1011.8,90,2.0,0.4,450.0
2018-01-24 03:00:00,1250.0,10000,21.2,18.6,1012.8,110,3.0,0.5,450.0
2018-01-24 06:00:00,800.0,10000,24.7,19.3,1009.4,140,3.0,0.5,800.0
2018-01-24 09:00:00,1250.0,10000,25.2,19.5,1007.5,110,3.0,0.2,450.0
2018-01-24 12:00:00,22000.0,10000,23.2,19.6,1008.7,140,2.0,,
2018-01-24 15:00:00,22000.0,10000,22.2,19.5,1010.1,140,2.0,0.3,1250.0
2018-01-24 18:00:00,,10000,21.6,19.4,1009.5,90,2.0,0.5,450.0
2018-01-24 21:00:00,1250.0,10000,21.2,19.2,1008.7,140,3.0,0.5,450.0
2018-01-25 00:00:00,1250.0,10000,21.5,19.2,1010.6,90,1.0,0.5,450.0
2018-01-25 03:00:00,1250.0,10000,24.0,18.6,1012.3,110,3.0,0.6,450.0
2018-01-25 06:00:00,800.0,10000,27.0,20.5,1009.7,160,3.0,0.7,800.0
2018-01-25 09:00:00,22000.0,20000,27.0,19.6,1008.4,140,3.0,0.2,800.0
2018-01-25 12:00:00,22000.0,10000,23.5,20.1,1010.2,110,4.0,0.4,800.0
2018-01-25 15:00:00,1250.0,10000,22.2,19.8,1012.1,110,3.0,0.8,1250.0
2018-01-25 18:00:00,1250.0,10000,21.2,18.8,1012.3,90,3.0,0.3,450.0
2018-01-25 21:00:00,,10000,20.8,18.4,1011.5,110,2.0,0.6,450.0
2018-01-26 00:00:00,1250.0,10000,20.7,18.3,1013.4,90,2.0,0.6,450.0
2018-01-26 03:00:00,1250.0,10000,21.5,19.5,1015.0,140,2.0,0.5,450.0
2018-01-26 06:00:00,,10000,22.0,19.1,1012.7,110,2.0,0.5,450.0
2018-01-26 09:00:00,1250.0,10000,21.7,18.9,1011.1,110,3.0,0.6,450.0
2018-01-26 12:00:00,1250.0,10000,20.7,18.2,1012.5,140,3.0,0.6,450.0
2018-01-26 15:00:00,2750.0,4000,19.2,17.5,1013.1,90,3.0,0.6,450.0
2018-01-26 18:00:00,1250.0,10000,18.5,16.8,1013.0,90,2.0,0.4,450.0
2018-01-26 21:00:00,1250.0,10000,18.7,17.0,1012.2,160,2.0,0.5,450.0
2018-01-27 00:00:00,2750.0,4000,18.0,16.8,1012.0,140,1.0,0.6,450.0
2018-01-27 03:00:00,2750.0,4000,18.2,17.0,1014.2,140,2.0,0.6,450.0
2018-01-27 06:00:00,2750.0,4000,18.5,17.0,1012.6,140,2.0,0.6,450.0
2018-01-27 09:00:00,2750.0,4000,19.0,17.0,1010.4,90,3.0,0.6,450.0
2018-01-27 12:00:00,2750.0,4000,18.5,17.0,1010.8,90,2.0,0.6,450.0
2018-01-27 15:00:00,2750.0,4000,18.5,17.1,1012.1,90,3.0,0.6,450.0
2018-01-27 18:00:00,2750.0,4000,18.5,17.7,1011.8,50,2.0,0.6,450.0
2018-01-27 21:00:00,2750.0,4000,17.6,16.2,1010.6,20,2.0,0.6,450.0
2018-01-28 00:00:00,2750.0,10000,16.5,15.5,1012.3,50,2.0,0.6,450.0
2018-01-28 03:00:00,,10000,16.2,13.5,1014.7,360,2.0,0.3,450.0
2018-01-28 06:00:00,2750.0,4000,14.5,12.5,1013.3,360,2.0,0.6,450.0
2018-01-28 09:00:00,2750.0,4000,14.1,11.8,1011.9,360,1.0,0.6,450.0
2018-01-28 12:00:00,2750.0,4000,12.7,11.0,1015.1,360,2.0,0.6,450.0
2018-01-28 15:00:00,2750.0,4000,12.0,10.0,1018.2,360,2.0,0.6,450.0
2018-01-28 18:00:00,1250.0,10000,11.6,7.9,1019.5,50,4.0,0.5,450.0
2018-01-28 21:00:00,1250.0,10000,11.2,5.5,1019.7,20,4.0,0.5,450.0
2018-01-29 00:00:00,1250.0,10000,11.2,4.5,1022.1,20,2.0,0.3,450.0
2018-01-29 03:00:00,1250.0,10000,12.5,4.3,1024.2,20,3.0,0.5,450.0
2018-01-29 06:00:00,,10000,14.0,3.3,1021.1,360,3.0,0.6,450.0
2018-01-29 09:00:00,,10000,13.9,3.4,1018.5,360,2.0,0.6,450.0
2018-01-29 12:00:00,,10000,12.8,3.6,1019.8,90,2.0,0.3,450.0
2018-01-29 15:00:00,,10000,11.8,6.0,1022.1,20,3.0,0.5,450.0
2018-01-29 18:00:00,,10000,10.4,4.8,1022.7,20,3.0,0.6,450.0
2018-01-29 21:00:00,,10000,9.8,4.6,1022.2,20,2.0,0.6,450.0
2018-01-30 00:00:00,,10000,10.0,4.6,1022.3,360,2.0,0.4,450.0
2018-01-30 03:00:00,,10000,11.7,4.4,1023.1,50,2.0,0.3,450.0
2018-01-30 06:00:00,,10000,12.8,4.4,1018.7,20,2.0,0.2,450.0
2018-01-30 09:00:00,1250.0,10000,12.6,4.4,1016.2,50,2.0,0.2,450.0
2018-01-30 12:00:00,1250.0,10000,12.0,5.2,1017.6,50,2.0,0.2,450.0
2018-01-30 15:00:00,1250.0,10000,11.2,6.6,1020.5,50,2.0,0.3,450.0
2018-01-30 18:00:00,1250.0,10000,9.7,6.8,1021.7,360,3.0,0.5,450.0
2018-01-30 21:00:00,1250.0,10000,9.6,6.1,1022.4,360,3.0,0.6,450.0
2018-01-31 00:00:00,1250.0,10000,10.1,5.5,1025.1,50,3.0,0.6,450.0
2018-01-31 03:00:00,1250.0,10000,12.0,5.5,1027.6,360,4.0,0.3,450.0
2018-01-31 06:00:00,1250.0,10000,13.6,6.7,1024.7,320,3.0,0.5,450.0
2018-01-31 09:00:00,1250.0,10000,14.5,3.3,1022.8,360,4.0,0.5,450.0
2018-01-31 12:00:00,1250.0,10000,13.2,6.1,1024.3,360,2.0,0.3,450.0
2018-01-31 15:00:00,1250.0,10000,12.7,6.5,1026.6,340,1.0,0.2,450.0
2018-01-31 18:00:00,1250.0,10000,12.5,7.6,1025.9,360,0.0,0.2,450.0
2018-01-31 21:00:00,1250.0,10000,12.0,6.7,1024.8,360,2.0,0.2,450.0
2018-02-01 00:00:00,1250.0,10000,12.1,2.4,1025.1,50,2.0,0.1,450.0
2018-02-01 03:00:00,1250.0,10000,14.5,4.1,1025.1,320,3.0,0.7,1250.0
2018-02-01 06:00:00,1250.0,10000,15.7,0.8,1021.5,270,2.0,0.8,1250.0
2018-02-01 09:00:00,1250.0,10000,16.2,1.6,1017.5,50,3.0,0.7,1250.0
2018-02-01 12:00:00,1250.0,10000,15.0,3.9,1018.2,90,2.0,0.6,1250.0
2018-02-01 15:00:00,1250.0,10000,13.2,7.8,1020.6,90,2.0,0.5,450.0
