,v_2m,d_2m,v_10m,d_10m,v_50m,d_50m,v_850,d_850,v_500,d_500,v_250,d_250
2018-07-18 12:00:00,3.021872102942605,13.69477794815873,4.315752259682017,13.718503277293749,5.529530177511078,16.435032592261763,15.82320980713411,56.43563473562712,16.722571974053256,68.62804817666712,19.82100354303502,86.80632781273601
2018-07-18 13:00:00,3.091069535478937,19.2783669882906,4.464345819671667,19.289001425037995,5.872742787496341,21.779650426072095,15.429460943656359,51.43641996550743,17.60083655464683,66.25669547518729,18.48719464679169,88.14228385765443
2018-07-18 14:00:00,3.0908564890614523,27.15464055780061,4.547739518388565,27.260418009054682,6.391843709149461,29.51444826347702,14.738445053251583,50.46098373611676,18.778752335075435,66.38571645448874,16.89722594756085,87.5670102891288
2018-07-18 15:00:00,2.9062763963756804,36.68122995559436,4.35957845077953,36.72494880883279,6.693285773364697,38.15123164159416,14.545212237148998,52.79725250967359,19.86525657230571,67.66864093928291,15.529834288130417,86.66512726961602
2018-07-18 16:00:00,2.6428518114657606,49.55475342333655,4.044468602129332,49.51965637177557,6.744917448037819,50.07299713108848,14.80808080618931,60.085976343141674,20.825487047660808,67.66540444607506,14.392200533543688,84.5405761254962
2018-07-18 17:00:00,2.1868798824635842,59.07417528294628,3.4668058417351797,59.07401205002844,6.599183881040139,59.34803736979973,15.22888415993548,68.84852304823706,21.68317532781444,68.37288643194543,13.614045411405272,81.84213891011287
2018-07-18 18:00:00,1.7444041587632848,59.50302940603251,2.9474251334222643,59.68091223613307,6.417217805493284,60.33330779237603,15.366945364124128,74.07747569298255,22.004491488636273,71.82566996324991,13.040664382251293,79.41230774292943
2018-07-18 19:00:00,1.599788060475293,52.83538165661576,2.7599908570370104,53.17140278709269,6.1144761553085285,54.272479958054895,15.320591747660805,76.45284467314211,22.03267706822328,75.93108692452199,12.522551780577082,78.51470032686963
2018-07-18 20:00:00,1.4679741663135253,45.96472358747676,2.5814833195687665,46.30169214532069,5.7391236786703725,47.4598622713808,14.995178805089337,78.69184910395619,21.76048623304953,77.74191115426946,11.96097643834952,78.8404810629049
2018-07-18 21:00:00,1.4431291640317856,40.78188030522199,2.5468487022621034,40.99439366569467,5.61496564965993,42.45047960695081,14.605601436582552,80.88646694545305,21.157251917060165,78.18122408063935,11.277387688912802,80.63466217193412
2018-07-18 22:00:00,1.5620659249233273,37.79983364461781,2.678593786583706,37.85481124983812,5.808819095029033,39.3614320826186,14.004898701583857,82.15295992806385,20.130543360197073,80.59517969041198,10.64764846311269,83.12471567211679
2018-07-18 23:00:00,1.7383782417490532,34.81516361026789,2.880469059705563,34.864651945120926,6.046703060085629,36.604722751761734,13.182860116706253,83.06394646318704,18.950345893352548,84.58192348471965,10.034190637073696,85.14623376650826
2018-07-19 00:00:00,2.0935476803951447,33.21350182696426,3.335568433806964,33.227803546522814,6.3463522692562675,35.012464766518114,12.465044811402434,83.341112509289,17.765775242180336,88.16724670106898,9.467248914314473,87.94294207942174
2018-07-19 01:00:00,2.4797312067917057,30.754884659723253,3.8514114088649385,30.811635249475735,6.66579669392054,32.87920573338374,12.223985012391026,82.77576059789875,16.46848249005127,92.2209126634132,9.025618468801865,90.57939156437685
2018-07-19 02:00:00,3.0805835747061514,28.046540123962167,4.689582611637894,28.097336242956274,7.348195733038192,30.16324125620438,12.884819648028165,81.00500041356165,15.332757449447778,97.41708107213353,8.638993483182887,93.54437161469248
2018-07-19 03:00:00,3.7579550973433746,25.247234271675865,5.649072298105066,25.28096619374469,8.272184068701693,27.38411856688507,14.279724108746638,82.8669230023716,14.317821492628175,102.717307181431,8.285589956978784,97.18207973008367
2018-07-19 04:00:00,4.383397612833903,31.172492190723553,6.545545446622363,31.144652423796664,9.22855547407671,33.67040042345746,15.83778773176803,93.97193166805809,12.934453270257666,104.65161233898027,7.744432121108695,104.80293667929578
2018-07-19 05:00:00,4.5387665356371185,45.409189728065506,6.767172502141325,45.40698119153484,9.504642417744222,48.22909855308752,16.48018094925769,106.39270737131562,12.265815385819558,103.53554995733964,7.184503604506783,114.42803564253734
2018-07-19 06:00:00,4.254151628571719,57.00680935650579,6.331623132671121,56.999673207244676,8.789844570111288,59.515547715873105,16.11907848800039,110.86304470571865,13.025015278041515,103.05107627394426,7.124087506021824,119.50114553390554
2018-07-19 07:00:00,3.991662708650058,59.241968390989655,5.88741844566007,59.22923349843539,7.840263047420716,61.62841954448202,16.011366573309225,108.37381280770418,13.936814202475562,106.20143927141906,7.809580143809003,125.9322106433178
2018-07-19 08:00:00,4.391603588825385,56.972254606727375,6.422832776931083,56.967243113409005,8.325787746248698,59.78042089603407,16.84317580430179,102.57200302979594,14.648744172047127,113.05707253399699,8.467304587275697,135.7187888181155
2018-07-19 09:00:00,4.968268096277966,61.98798156728426,7.290315655868323,61.97652789632103,9.592003105355849,64.39938629348185,18.23958952076375,100.31168049825465,15.105715870437919,124.01745552871262,8.135551648689887,140.50557560501406
2018-07-19 10:00:00,5.395172347560827,70.94161055008011,7.92076298283188,70.93121752387565,10.416016108546582,72.73449693154959,18.91803426789623,102.10082034117713,14.402392029766514,138.6918539713668,7.633959259811412,138.0743432415754
2018-07-19 11:00:00,5.4965752701859305,82.05205236434773,8.080016446074355,82.0407478821123,10.651778441120571,83.4483040641177,18.54144255682276,107.82474375277653,12.623387387480312,145.81625454241544,8.021371640644135,140.55262248855956
